id,nace_kodu,sektor,hedef_yatirim,oncelikli_yatirim,yuksek_teknoloji,orta_yuksek_teknoloji,sartlar,bolge_1,bolge_2,bolge_3,bolge_4,bolge_5,bolge_6,created_at,updated_at
4,01.19.99,Başka yerde sınıflandırılmamış tek yıllık diğer bitkisel ürünlerin yetiştirilmesi,true,true,false,false,"Hedef; 1) Sera Yatırımlarında;
a) 1 ve 2. Bölgelerde asgari 20 dekar,
b) 3. Bölgede asgari 15 dekar,
c) 4 ve 5. Bölgelerde asgari 10 dekar,
d) 6. Bölgede asgari 5 dekar ve üzeri olması şartı aranır.
2) Yapay ışıkla fotosentez sağlanan kontrollü bitkisel üretim yatırımlarında katmanlarının toplam alanının asgari 1.000 m2 olması şartı aranır.
Diğer yatırımlar desteklenmez.
1080,33.16.01,Sivil hava taşıtları ve uzay araçlarının onarım ve bakımı,true,true,false,false,"Hava araçlarının kullanım, tamir ve bakımına yönelik eğitim yatırımları öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1081,33.17.01,Demir yolu lokomotiflerinin ve vagonlarının onarım ve bakımı,true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1082,35.11,"Yenilenemeyen kaynaklardan elektrik üretimi (yerli kömür, linyit, hidrolik",true,true,false,false,Doğalgaza veya ithal kömüre dayalı elektrik enerjisi üretimi hariç olmak üzere elektrik enerjisi üretimi yatırımları desteklenir. Enerji ve Tabii Kaynaklar Bakanlığı tarafından düzenlenen geçerli bir maden işletme ruhsatı ve izni kapsamında 4/6/1985 tarihli ve 3213 sayılı Maden Kanununun 2 nci maddesinin 4-b grubunda yer alan madenlerin girdi olarak kullanıldığı elektrik üretimi yatırımları önceliklik yatırım konularındandır.,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1083,35.12,"Yenilenebilir kaynaklardan elektrik üretimi (GES - Güneş, RES - Rüzgar, Biyokütle, Fotovoltaik)",true,true,false,false,"Güneş enerjisinden elektrik üretimi yatırımlarında; modernizasyon niteliğindeki yatırımlar ile 240 KW altı kapasitedeki (çatı dâhil) güneş enerjisinden elektrik üretimi yatırımlar desteklenmez. İmalat sanayii işletmelerinin öz tüketimine yönelik olarak gerçekleştirilecek enerji üretimi faaliyeti kapsamında bağlantı anlaşmasındaki sözleşme gücü ile sınırlı olmak kaydıyla, güneş enerjisine dayalı elektrik üretim tesisi yatırımları ile rüzgâr enerjisine dayalı elektrik üretim tesisi yatırımlar öncelikli yatırım konularındandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1084,35.14.06,Elektrik enerjisinin dağıtımı (üretim kaynağından veya iletim sisteminden son kullanıcıya iletim sistemiyle taşınan elektrik enerjisi dağıtım sisteminin işletilmesi),true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1085,35.15.01,Elektrikli araçlar ve elektronik cihazlar için şarj istasyonlarının işletilmesi,true,false,false,false,Tebliğ ile belirlenecek şartları sağlayan yatırımlar desteklenir.,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1086,35.16,Elektriğin depolanması,true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1087,35.22.01,"Ana şebeke üzerinden gaz yakıtların dağıtımı (her çeşit gazlı yakıtın, ana boru sistemiyle dağıtımı ve tedariki)",true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1088,35.24,Gazın depolanması (şebeke tedarik hizmetlerinin bir parçası olarak),true,false,false,false,,12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
1089,38,"Atık toplama, geri kazanım ve bertaraf faaliyetleri",true,true,false,false,"38.11.02 İnşaat ve yıkım atıklarının, çalı, çırpı, moloz gibi enkazların toplanması ve kaldırılması hariç. Çevre İzin ve Lisans Yönetmeliği kapsamında çevre lisansına tabi yatırımlar öncelikli yatırımlardandır.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:59.736716+00,2025-06-28 13:25:59.736716+00
